Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9847429980701871,0.00804651994092597,0.4321796405878332,0.4106860985959259,23.964134280426013,0.7969809347391128
2,1.000000436676873,0.0041151848671336965,0.9999905482927958,0.9999909908506606,25.639226480347872,0.8188737362623215
3,1.0000003048578898,0.003500112661264009,0.9999931393729315,0.9999934474097358,27.00416583779299,0.8274268478155136
4,1.0000001939137777,0.003223062966432836,0.9999950230916341,0.9999952190717062,27.55857509365776,0.8422847622632981
5,1.000000125249227,0.0030304950134207803,0.999996214972602,0.9999963457319472,27.851475486800126,0.8483015406131744
6,1.0000000693003337,0.0028962817750871183,0.9999970050387912,0.9999970785776774,27.828340393787364,0.8499779731035233
7,1.0000000566376581,0.0028323498701469767,0.9999974439409044,0.999997505929735,27.45697360428458,0.8533221924304962
8,1.0000000324249267,0.0026878182927353514,0.9999981628523933,0.999998202059004,27.83683923527583,0.8572774070501328
9,1.0000000348620945,0.002634252833409442,0.9999983974032932,0.999998440000746,27.714424966622985,0.8512338441610336
10,1.0000000055101184,0.0026312184954682986,0.9999985636605156,0.9999985769059923,28.37566438217216,0.8592070919275284
